City,State,Tourist Spot,Type of Attraction,Season,Activities,Image,city_link
BHUBANESHWAR,ODISHA,UDAIGIRI AND KHANDAGIRI CAVES,CAVES,Winter,Cave Exploration / Hiking / Photography / Historical Tours / Archaeological Exploration / Wildlife Viewing / Picnic Spots / Yoga / Meditation / Spiritual Tours / Nature Walks / Cultural Tours / Scenic Views,image\bhubaneshwar\udaigiri.jpg,bhubaneshwar.html
BHUBANESHWAR,ODISHA,NANDANKANAN ZOOLOGICAL PARK,ZOO,Winter,Safari Ride / Boat Ride / Bird Watching / Elephant Ride / Nature Walk / Animal Interaction / Zoo Visit / Reptile House / Aquarium / Zoo Education Programs / Picnic Area / Children’s Play Area,image\bhubaneshwar\nandankanan_ZoologicalPark.jpg,bhubaneshwar.html
CHANDIGARH,PUNJAB,ROCK GARDEN,GARDEN,Winter, Sculpture viewing / Photography / Walking tour / Nature walk / Rock art exploration / Art exhibitions / Picnic / Cultural performances / Leisure stroll / Relaxation by waterfalls / Bird watching / Souvenir shopping,image\chandigarh\rock_garden.jpg,chandigarh.html
CHANDIGARH,PUNJAB,SUKHNA LAKE ,LAKE,Winter/Monsoon,Boating/Walking/Photography/Picnic/Cycling/Yoga and Meditation/Shopping/Relaxing/Cultural performances/Sailing/Kayaking,image\chandigarh\sukhna_lake.jpg,chandigarh.html
CHANDIGARH,PUNJAB,ROSE GARDEN,GARDEN,Spring,Botanical walks / Photography / Picnic / Birdwatching / Nature walks / Relaxation / Morning walks / Group outings / Flower viewing / Exercise / Yoga / Meditation / Gardening workshops / Educational tours / Cultural events,image\chandigarh\rose_garden.jpg,chandigarh.html
CHENNAI,TAMIL NADU,MARINA BEACH ,BEACH,Winter,Beach walk / Sunbathing / Surfing / Beach volleyball / Photography / Kite flying / Swimming / Boating / Fishing / Enjoying street food / Visiting the Lighthouse / Horse riding /Cycling / Relaxing at the park / Watching sunset / Shopping / Attending cultural events,image\chennai\marina_beach.jpg,chennai.html
CHENNAI,TAMIL NADU,FORT ST. GEORGE,FORT,Winter,Historical Tours /Heritage Walks / Museum Visits / Archaeological Exploration / Cultural Performances / Photography Spots / Local Cuisine / Souvenir Shopping / Colonial Architecture Viewing / Relaxing  / Fort Exploration / Sunset Viewing / Boat Rides / Military History Tours / Event Celebrations / Picnic Spots / Educational Workshops / Art Exhibitions,image\chennai\fort-st-Georges1-1.jpg,chennai.html
CHENNAI,TAMIL NADU,KAPALESHWAR TEMPLE,RELIGIOUS SITE,Winter,Temple Visit / Spiritual Experience / Architecture Exploration / Photography / Cultural Tour / Pilgrimage / Meditation / Temple Rituals / Prayers / Historical Exploration / Heritage Walk / Local Shopping / Devotional Music / Art and Sculpture Viewing / Community Engagement,image\chennai\kapaleshwar_temple.jpg,chennai.html
CHITTORGARH,RAJASTHAN,CHITTORGARH FORT,FORT,Winter,Sightseeing / Historical Tours / Photography / Trekking / Exploring Temples / Fort Exploration / Archaeological Tours / Cultural Tours / Village Visits / Light and Sound Show / Picnic / Shopping for Souvenirs / Horse Riding ,image\chittorgarh\Chittorgarh-fort-14.jpg,chittorgarh.html
CHITTORGARH,RAJASTHAN,VIJAY STAMBHA,MONUMENT,Winter,Viewpoint/Photography/Historical Exploration/Cultural Experience/Local Shopping/Picnic/Spiritual Experience/Sightseeing/Monument Visit/Guided Tours,image\chittorgarh\vijay_stambha.jpg,chittorgarh.html
CHITTORGARH,RAJASTHAN,PADMINI PALACE ,FORT,Winter,Cultural Tours / Photography / Heritage Walks / Sightseeing / Historical Exploration / Royal Palace Visit / Sunset Viewing / Traditional Dance Shows / Local Craft Shopping,image\chittorgarh\padmini_palace.jpg,chittorgarh.html
COIMBATORE,TAMIL NADU,ISHA FOUNDATION,MONUMENT,Winter,Yoga / Meditation / Inner Engineering Program /  Rejuvenation Center /  Nature Walk / Volunteer Programs / Sadhguru Talks /Yoga Center / Spiritual Programs / Temple Pilgrimage,image\coimbatore\isha_foundation.jpg,coimbatore.html
COIMBATORE,TAMIL NADU,MARUDMALAI TEMPLE,RELIGIOUS SITE,Winter,Photography /  temple rituals / Attending religious events / Shopping for souvenirs / Enjoying traditional South Indian food ,image\coimbatore\marudhamalai_temple.jpg,coimbatore.html
COIMBATORE,TAMIL NADU,VOC PARK AND ZOO,ZOO,Winter/Spring,Zoo Tour / Boating / Elephant Ride / Children's Play Area / Toy Train Ride / Picnic Area / Animal Shows / Nature Walk / Bird Watching / Reptile House / Adventure Zone ,image\coimbatore\VOC_Zoo.jpg,coimbatore.html
COORG,KARNATAKA,ABBEY FALLS,WATERFALL,Monsoon,trekking / nature walk / photography / sightseeing / waterfall visit / bird watching  / camping / adventure sports/ cycling/ relaxation / picnic,image\coorg\abbey_falls.jpg,coorg.html
COORG,KARNATAKA,RAJA'S SEAT,MONUMENT,Winter/Monsoon, Sunset Viewing / Garden Walks / Photography / Local Shopping / Trekking / Nature Walks / Sightseeing / Bird Watching,image\coorg\raja's_seat.jpg,coorg.html
COORG,KARNATAKA,DUBARE ELEPHANT CAMP,WILDLIFE AREA,Winter/Spring,Elephant bathing / Elephant feeding / Coracle ride / Nature walk / River rafting  / Wildlife safari / Bird watching / Fishing / Campfire / Elephant interaction / Forest walk / Kayaking / Zip lining / Tribal dance performance,image\coorg\dubare_elephant_park.jpg,coorg.html
DARJEELING,WEST BENGAL,TIGER HILL,HILL STATION,Spring/Autumn,Sunrise Viewing / Trekking / Photography / Paragliding / Sightseeing / Nature Walks / Camping / Tea Garden Visit / Monastery Tour / Historical Exploration,image\darjeeling\tigerHill.jpg,darjeeling.html
DARJEELING,WEST BENGAL,DARJEELING HIMALAYAN RAILWAYS,RAIL LINE,Summer/Autumn,Toy Train Ride / Explore Museum / Trekking / Tea Garden Tour / Photography / Explore Local Markets/ Experience Local Culture and Cuisine,image\darjeeling\RailLine.jpg,darjeeling.html
DARJEELING,WEST BENGAL,BATASIA LOOP,WAR MEMORIAL,Summer/Autumn,Sightseeing / Toy Train Ride / Shopping / Photography / Nature Walks / Local Cuisine Tasting / Cultural Exploration / Visit War Memorial / Visit Peace Pagoda,image\darjeeling\BatasiaLoop.jpg,darjeeling.html
DEHRADHUN,UTTRAKHAND,ROBBER'S CAVE,CAVES,Winter,Caving / Picnic / Rock Climbing / Nature Walk / Photography / Waterfall Viewing / Adventure Sports / Boating / Wildlife Watching / Camping / Exploring Hidden Trails,image\dehradun\Robbers cave.jpg,dehradhun.html
DEHRADHUN,UTTRAKHAND,FOREST REASEARCH INSTITUTE,NATIONAL HERITAGE SITE,Autumn/Spring,Nature Walk / Botanical Garden Visit / Museum Tour / Tree Plantation / Guided Hike / Bird Watching / Environmental Education Programs / Flora and Fauna Photography / Research Center Tour / Forest Trail Walk / Eco-Tourism Experience,image\dehradun\Forest Research Institute Dehradun.jpg,dehradhun.html
DEHRADHUN,UTTRAKHAND,SAHASTRA DHARA ,RIVER BANKS,Winter/Spring,Ropeway Ride/ Spring Bath/Cave exploration/ Picnic spot/Trekking/ Sightseeing/Photography/Nature Walks,image\dehradun\ShahstraDhara.jpg,dehradhun.html
DELHI,DELHI,INDIA GATE ,MONUMENT,Winter/Spring, Picnic / Photography / Walking Tours / Cycling / Kite Flying /  Evening Stroll / Light and Sound Show /  Shopping / Food Stalls / Horse Ride,"image\delhi\India Gate, New Delhi.jpeg",delhi.html
DELHI,DELHI,JAMA MASJID,RELIGIOUS SITE,Winter,Visit the mosque /Photography / Attend a prayer / Walk  / Visit the markets / architecture exploration /  guided tour / Enjoy the local food /  historical tour/  Experience the local culture / religious lecture,image\delhi\JamaMasjid.jpg,delhi.html
DELHI,DELHI,RED FORT ,MONUMENT,Winter,Sightseeing / Historical Tour / Photography / Audio Guide Experience / Guided Tour / Cultural Performance / Museum Visit / Light and Sound Show / Shopping at Market / Heritage Walk / Exploring Ancient Architecture / Exploring Fort Premises / Local Food Experience / Night Tour,image\delhi\RedFort.jpg,delhi.html
DELHI,DELHI,QUTUB MINAR,MONUMENT,Winter,Sightseeing / Photography / Historical Tour / Architecture Exploration / Cultural Experience / Picnic / Shopping / Local Cuisine Tasting / Souvenir Shopping / Educational Tour / Heritage Walk / Guided Tour / Event Viewing,image\delhi\QutubMinar.jpg,delhi.html
DEOGHAR,JHARKHAND,BABA BAIDYANATH TEMPLE,RELIGIOUS SITE,Winter,Darshan / Pooja  / Parikrama / Temple Tour / Spiritual Meditation / Aarti / Offer Prayers / Visit to Main Shrine / Visit to Jyotirlinga / Pilgrimage Tour / Prasad Collection / Attend Evening Aarti / Rituals and Ceremonies / Photography / Cultural Experience / Participate in Religious Discussions / Visit to Temple Complex,image\deogarh\Baba Baidhyanath Temple.jpg,deoghar.html
DEOGHAR,JHARKHAND,TRIKUT PAHAR,ADVENTURE SPORT PLACE,Winter/Spring,Trekking / Camping / Hiking / Rock Climbing / Nature Walk / Photography / Spiritual Tour / Mountain Biking/ Sightseeing / Adventure Sports / Picnic Spot / Meditation ,image\deogarh\Trikut Pahar.jpg,deoghar.html
DEOGHAR,JHARKHAND,TAPOVAN CAVES AND HILLS,CAVES AND HILLS,Summer/Autumn,Trekking / Camping / Photography / Nature Walks / Caving / Bird Watching / Bonfire / Rock Climbing / Stargazing / Meditation / Fishing / Paragliding,image\deogarh\tapovan caves and hills.jpg,deoghar.html
DHARAMSHALA,HIMACHAL PRADESH,DALAI LAMA TEMPLE,RELIGIOUS SITE,Spring/Autumn,Meditation / Prayer / Yoga / Spiritual Retreat / Tibetan Buddhism Study / Nature Walk / Monastery Tour / Photography / Visit to Namgyal Monastery / Attend Buddhist Teachings / Buddhist Rituals / Chanting / Tibetan Cultural Experience,image\dharamshala\Dalai Lama Temple.jpg,dharamshala.html
DHARAMSHALA,HIMACHAL PRADESH,BHAGSUNAG WATERFALL,WATERFALL,Monsoon, Swimming / Picnic / Photography / Nature Walks / Exploring Local Cafes / Yoga / Waterfall Bathing  / Camping ,image\dharamshala\Bhagsung Waterfall.jpg,dharamshala.html
DHARAMSHALA,HIMACHAL PRADESH,TRIUND TREK,TREK,Spring/Summer/Autumn,Trekking / Camping / Bonfire / Nature Walks / Photography / Stargazing / Birdwatching / Mountain Climbing / Sunrise View / Sunset View / Picnic / Wildlife Watching,image\dharamshala\triund trek.jpg,dharamshala.html
GANGTOK,SIKKIM,TSOMGO LAKE ,LAKE,Spring/Winter,boating/ photography / sightseeing / nature walks / bird watching / yak ride / camping / picnic / picnic spot / snow activities,image\gangtok\Tsomgo Lake.jpg,gangtok.html
GANGTOK,SIKKIM,RAMTEK MONASTERY,MONASTERY,Winter,sightseeing / meditation / photography / nature walk / historical exploration / spiritual retreat / camping / local culture experience/trekking,image\gangtok\rumtek_monastry.jpg,gangtok.html
GANGTOK,SIKKIM,NATHULA PASS,PASS,Summer/Autumn,Trekking / Scenic Views / Yak Ride / Snow Activities / Photography / Adventure Sports / Wildlife Watching / Cultural Exploration,image\gangtok\Nathula Pass.jpg,gangtok.html
GOA,GOA,CALANGUTE BEACH,BEACH,Winter,Beach Volleyball / Parasailing / Jet Skiing / Windsurfing / Banana Boat Ride / Dolphin Watching / Sunbathing / Beachside Dining / Shopping at Beach Markets / Yoga by the Beach / Water Scooter Ride / Beach Photography / Kayaking / Cycling / Fishing / Surfing,image\goa\Calangute Beach.jpg,goa.html
GOA,GOA,BASILICA OF BOM JESUS,RELIGIOUS SITE,Winter,Sightseeing / Historical Tour / Religious Visit / Photography / Cultural Experience / Heritage Walk / Spiritual Retreat / Guided Tour / Architecture Exploration / Art Viewing / Museum Visit / Prayer / Meditation / Attend Mass / Educational Visit,image\goa\Basilica of Bom Jesus.jpg,goa.html
GOA,GOA,DUDHSAGAR FALL,WATERFALL,Monsoon,trekking / jeep safari / waterfall bathing / camping / bird watching / nature walks / photography / wildlife spotting / swimming  / river crossing / picnic /guided tours,image\goa\Dudhsagar Fall.jpg,goa.html
GULMARG,KASHMIR,GULMARG BACKCOUNTRY,ADVENTURE SPORT PLACE,Winter,Skiing / Snowboarding / Snowshoeing / Hiking / Sledding / Paragliding / Trekking / Mountaineering / Wildlife Photography / Gondola Ride / Ice Skating / Golfing / Camping / Nature Walks / Bird Watching,image\gulmarg\gulmarg_backcountry.jpg,gulmarg.html
GULMARG,KASHMIR,ALPATHER LAKE,LAKE,Summer,Boating / Fishing / Photography / Nature Walks / Camping / Bird Watching / Picnic/ Cycling / Horse Riding / Stargazing ,image\gulmarg\alpather_lake.jpg,gulmarg.html
GULMARG,KASHMIR,APHARWAT PEAK,PEAK,Winter/Spring,Skiing / Snowboarding / Trekking / Snowshoeing / Paragliding / Mountaineering / Hiking / Cable Car Ride / Scenic Photography / Ice Climbing / Horse Riding / Nature Walks / Wildlife Photography / Camping / Fishing,image\gulmarg\apharwat-peak-gulmarg1.jpg,gulmarg.html
GUWAHATI,ASSAM,KAMAKHYA TEMPLE ,TEMPLE,Winter,Darshan / Visit to the Temple/ Participation in Religious Rituals / Photography / Architecture /  Prasad Collection /    Enjoying Scenic Views / Attend Cultural Performances / Shopping for Local Handicrafts / Explore the Ancient Caves,image\guwahati\kamakhya_temple.jpg,guwahati.html
GUWAHATI,ASSAM,UMANANDA ISLANDS ,RELIGIOUS SITE,Winter,boating / bird watching / photography / nature walk / fishing / picnic / exploring historical sites / swimming,image\guwahati\umananda_islands.jpg,guwahati.html
GUWAHATI,ASSAM,POBITORA WILD LIFE CENTURY,WILDLIFE AREA,Winter,Wildlife Safari / Bird Watching / Elephant Ride / Jeep Safari / Nature Walk / Camping / Photography / Cultural Tour ,image\guwahati\pobitora_wildlife.jpg,guwahati.html
GUWAHATI,ASSAM,ASSAM STATE MUSEUM,MUSUEM,Winter,Exhibitions viewing / Cultural performances / Guided tours / Artifact exploration / Historical exhibitions / Art displays / Archaeological tours / Photography sessions / Educational workshops / Craft demonstrations / Traditional music sessions / Dance performances / Folk art exhibitions / Artifact conservation / Local history presentations,image\guwahati\Assam-State-Museum-1.jpg,guwahati.html
GWALIOR,MADHYA PRADESH,GWALIOR FORT ,FORT,Winter/Spring,Sightseeing / Historical Tours / Photography / Fort Exploration / Museum Visit / Cultural Tours / Light and Sound Show / Picnic / Heritage Walk / Sculpture Viewing,image\gwalior\gwalior fort.jpg,gwalior.html
GWALIOR,MADHYA PRADESH,JAI VILAS PALACE,PALACE,Winter/Spring,Sightseeing / Historical Tours / Photography  / Fort Exploration / Museum Visit / Cultural Tours / Light and Sound Show / Shopping / Heritage Walk / Sculpture Viewing,image\gwalior\jai vilas palace.jpg,gwalior.html
GWALIOR,MADHYA PRADESH,SAMADHI OF RANI LAKSHMI BAI,MEMORIAL,Winter/Spring,Historical Tour / Guided Walk / Photography  / Heritage Exploration / Spiritual Experience / Educational Tour / Cultural Tour / Archaeological Study,image\gwalior\samadhi-of-rani-lakshmi.jpg,gwalior.html
GWALIOR,MADHYA PRADESH,SUN TEMPLE,RELIGIOUS SITE,Winter/Spring,Sunset viewing / Photography / Temple exploration / Historical tour / Cultural experience / Spiritual walk / Archaeological site visit / Local crafts shopping / Meditation / Religious rituals participation / Guided tours / Sculptural observation / Light and sound show / Nature walk / Traditional dance performance,image\gwalior\sun_temple.jpg,gwalior.html
HARIDWAR,UTTRAKHAND,HAR KI PAURI ,RIVER BANKS,Winter/Spring,boating/river aarti/sunset viewing/temple visit/spiritual walks/photography/yoga sessions/pilgrimage visits/meditation,image\haridwar\Har Ki Pauri.jpg,haridwar.html
HARIDWAR,UTTRAKHAND,CHANDI DEVI TEMPLE,RELIGIOUS SITE,Autumn/Winter/Spring,Darshan / Aarti / Cable Car Ride / Trekking / Photography / Praying / Scenic Viewpoint / Spiritual Retreat / Nature Walk / Picnic / Temple Exploration / Meditation / Souvenir Shopping,image\haridwar\chandi devi temple.jpg,haridwar.html
HARIDWAR,UTTRAKHAND,MANSA DEVI TEMPLE,RELIGIOUS SITE,Autumn/Winter,Cable Car Ride / Temple / Ropeway Ride / Trekking / Photography / Visit to i Museum / Evening Aarti / Shopping,image\haridwar\mansa davi temple.jpg,haridwar.html
HUMPY,KARNATAKA,VIRUPAKSHA TEMPLE,RELIGIOUS SITE,Winter/Spring,Darshan / Temple Tour / Photography / Ritual Participation / Cultural Exploration / Spiritual Meditation / Attend Temple Festival / Visit Nearby Monuments / Local Shopping / Enjoy South Indian Cuisine,image\humpy\virupaksha_temple.jpg,humpy.html
HUMPY,KARNATAKA,VITTALA TEMPLE,RELIGIOUS SITE,Winter/Spring,photography/architecture sightseeing/cultural exploration/heritage walk/spiritual meditation/sculpture appreciation/history learning/traditional art exploration/stone chariot viewing/pilgrimage,image\humpy\Vijaya Vittala temple.jpg,humpy.html
HUMPY,KARNATAKA,HUMPI BAZAAR,MARKET AREA,Winter/Spring,Shopping/Photography/Heritage Walk/Local Cuisine Tasting/Cultural Tours/Craft Workshops/Street Art Exploration/Guided Tours/History Exploration,image\humpy\humpy_bazaar.jpg,humpy.html
HYDERABAD,TELANGANA,CHAR MINAR,MONUMENT,Winter,shopping/photography/historical sightseeing/cultural exploration/street food tasting/architectural tour/heritage walk/festival participation,image\hyderabad\chaar_minar.jpg,hyderabad.html
HYDERABAD,TELANGANA,GOLCONDA FORT,FORT,Winter,sightseeing/photography/historical tours/heritage walks/light and sound show/archaeological exploration/,image\hyderabad\golconda_fort.jpg,hyderabad.html
HYDERABAD,TELANGANA,CALVARY TEMPLE ,RELIGIOUS SITE,Winter,Prayer/Worship/Community Gathering/Sermons/Meditation/Charity Events/Fellowship/Faith Counseling/Religious Celebrations/Food Services/Volunteer Work/Spiritual Retreats,image\hyderabad\calvary.jpg,hyderabad.html
HYDERABAD,TELANGANA,RAMOJI FILM CITY,FILM CITY,Winter,Rides/Shows/Studio Tours/Adventure Activities/Theme Park Attractions/Cultural Performances/Shopping/Food Tours/Photography/Film Set Visits/Garden Walks/Live Entertainment,image\hyderabad\ramoji_film_city.jpg,hyderabad.html
INDORE,MADHYA PRADESH,RAJWADA PALACE ,PALACE,Winter/Spring,sightseeing/photography/cultural tours/shopping/history exploration/heritage walk/food tasting/architectural study/local handicraft exploration/traditional performances,"image\Indore\Rajwada Palace, Indore City, India jigsaw puzzle.jpg",indore.html
INDORE,MADHYA PRADESH,RALAMANDAL WILDLIFE SANCTUARY,WILDLIFE AREA,Autumn/Winter,Wildlife Safari/Nature Walk/Bird Watching/Photography/Picnic/Adventure Activities,image\Indore\ralamandal_wildlife_sanctuary.jpg,indore.html
INDORE,MADHYA PRADESH,LALBAGH PALACE,PALACE,Winter,heritage tour/photography/cultural exploration/architectural study/guided tour/historical learning/garden walk/royal lifestyle experience,image\Indore\lalbagh_palace.jpg,indore.html
