CITY,STATE,TOURIST SPOT,TYPE OF ATTRACTION,SEASON,ACTIVITIES
CHANDIGARH,PUNJAB,"ROCK GARDEN, SUKHNA LAKE , ROSE GARDEN","GARDEN, LAKE","Winter, Winter/Monsoon, Spring"," Sculpture viewing / Photography / Walking tour / Nature walk / Rock art exploration / Art exhibitions / Picnic / Cultural performances / Leisure stroll / Relaxation by waterfalls / Bird watching / Souvenir shopping, Boating/Walking/Photography/Picnicking/Cycling/Jet Skiing/Parasailing/Yoga and Meditation/Shopping/Exploring the promenade/Relaxing/Cultural performances, Botanical walks / Photography / Picnic / Birdwatching / Nature walks / Relaxation / Morning walks / Group outings / Flower viewing / Exercise / Yoga / Meditation / Gardening workshops / Educational tours / Cultural events"
CHENNAI,TAMIL NADU,"MARINA BEACH , FORT ST. GEORGE, KAPALESHWAR TEMPLE","BEACH, FORT, RELIGIOUS SITE",Winter,"Beach walk / Sunbathing / Surfing / Beach volleyball / Photography / Kite flying / Swimming / Boating / Fishing / Enjoying street food / Visiting the Lighthouse / Horse riding / Parasailing / Cycling / Relaxing at the park / Watching sunset / Shopping / Attending cultural events, 

Historical Tours /Heritage Walks / Museum Visits / Archaeological Exploration / Cultural Performances / Photography Spots / Local Cuisine / Souvenir Shopping / Colonial Architecture Viewing / Relaxing  / Fort Exploration / Sunset Viewing / Boat Rides / Military History Tours / Event Celebrations / Picnic Spots / Educational Workshops / Art Exhibitions, 

Temple Visit / Spiritual Experience / Architecture Exploration / Photography / Cultural Tour / Pilgrimage / Meditation / Temple Rituals / Prayers / Historical Exploration / Heritage Walk / Local Shopping / Devotional Music / Art and Sculpture Viewing / Community Engagement"
CHITTORGARH,RAJASTHAN,"CHITTORGARH FORT, VIJAY STAMBHA, PADMINI PALACE ","FORT, MONUMENT",Winter,"

Sightseeing / Historical Tours / Photography / Trekking / Exploring Temples / Fort Exploration / Archaeological Tours / Cultural Tours / Village Visits / Light and Sound Show / Picnic / Shopping for Souvenirs / Horse Riding / Nature Walks / Yoga / Bird Watching, 

Climbing/Viewpoint/Photography/Historical Exploration/Cultural Experience/Temple Visit/Local Shopping/Adventure Trekking/Picnic/Spiritual Experience/Sightseeing/Monument Visit/Hiking/Guided Tours/Festivals, 

Cultural Tours / Photography / Heritage Walks / Sightseeing / Historical Exploration / Boat Ride / Royal Palace Visit / Sunset Viewing / Traditional Dance Shows / Local Craft Shopping"
COIMBATORE,TAMIL NADU,"ISHA FOUNDATION, MARUDMALAI TEMPLE, VOC PARK AND ZOO","MONUMENT, RELIGIOUS SITE, ZOO","Winter, Winter/Spring","

Yoga / Meditation / Inner Engineering Program /  Rejuvenation Center /  Nature Walk / Volunteer Programs / Sadhguru Talks /Yoga Center / Spiritual Programs / Temple Pilgrimage, 

Climbing/ Exploring the hilltop / Photography/ Visiting the elephant sanctuary / local flora and fauna /  temple rituals / Attending religious events / Shopping for souvenirs / Enjoying traditional South Indian food / Trekking around the temple area, 

Zoo Tour / Boating / Elephant Ride / Children's Play Area / Toy Train Ride / Picnic Area / Animal Shows / Nature Walk / Bird Watching / Reptile House / Adventure Zone / Cultural Shows"
COORG,KARNATAKA,"ABBEY FALLS, RAJA'S SEAT, DUBARE ELEPHANT CAMP","WATERFALL, MONUMENT, WILDLIFE AREA","Monsoon, Winter/Monsoon, Winter/Spring","trekking / nature walk / photography / sightseeing / waterfall visit / bird watching / river rafting / camping / adventure sports / zip-lining / cycling / local shopping / cultural exploration / relaxation / picnic, Boating / Sunset Viewing / Garden Walks / Toy Train Ride / Photography / Local Shopping / Zip-lining / Trekking / Nature Walks / Sightseeing / Cultural Tours / Bird Watching, 

Elephant bathing / Elephant feeding / Coracle ride / Nature walk / River rafting / Trekking / Wildlife safari / Bird watching / Fishing / Campfire / Elephant interaction / Forest walk / Kayaking / Zip lining / Tribal dance performance"
DARJEELING,WEST BENGAL,"TIGER HILL, DARJEELING HIMALAYAN RAILWAYS, BATASIA LOOP","HILL STATION, RAIL LINE, WAR MEMORIAL","Spring/Autumn, Summer/Autumn","

Sunrise Viewing / Trekking / Photography / Paragliding / Sightseeing / Nature Walks / Camping / Tea Garden Visit / Monastery Tour / Historical Exploration, 

Toy Train Ride / Explore Museum / Trekking in the Hills / Tea Garden Tour / Photography  Visit to Temple / Explore Local Markets/ Experience Local Culture and Cuisine, 

Sightseeing / Toy Train Ride / Shopping / Photography / Trekking / Nature Walks / Local Cuisine Tasting / Cultural Exploration / Visit War Memorial / Visit Peace Pagoda"
DEHRADHUN,UTTRAKHAND,"ROBBER'S CAVE, FOREST REASEARCH INSTITUTE, SAHASTRA DHARA ","CAVES, NATIONAL HERITAGE SITE, RIVER BANKS","Winter, Autumn/Spring, Winter/Spring","Trekking / Caving / Picnic / Rock Climbing / Nature Walk / Photography / Waterfall Viewing / Adventure Sports / Boating / Wildlife Watching / Camping / Exploring Hidden Trails, Nature Walk / Botanical Garden Visit / Museum Tour / Tree Plantation / Guided Hike / Bird Watching / Environmental Education Programs / Flora and Fauna Photography / Research Center Tour / Forest Trail Walk / Eco-Tourism Experience, Ropewar Ride/ Spring Bath/Cave exploration/ Picnic spot/Trekking/ Sightseeing/Photography/Nature Walks/Temple Visit"
DELHI,DELHI,"INDIA GATE , JAMA MASJID, RED FORT , QUTUB MINAR","MONUMENT, RELIGIOUS SITE","Winter/Spring, Winter","

Boating / Picnic / Photography / Walking Tours / Cycling / Kite Flying /  Evening Stroll / Light and Sound Show /  Shopping / Food Stalls / Horse Ride, 

Visit the mosque /Photography / Attend a prayer / Walk  / Visit the markets / Explore the architecture /  guided tour / Enjoy the local food /  historical tour/  Experience the local culture / religious lecture, 

Sightseeing / Historical Tour / Photography / Audio Guide Experience / Guided Tour / Cultural Performance / Museum Visit / Light and Sound Show / Shopping at Market / Heritage Walk / Exploring Ancient Architecture / Exploring Fort Premises / Local Food Experience / Night Tour, Sightseeing / Photography / Historical Tour / Architecture Exploration / Cultural Experience / Picnic / Shopping / Local Cuisine Tasting / Souvenir Shopping / Educational Tour / Heritage Walk / Guided Tour / Event Viewing"
DEOGHAR,JHARKHAND,"BABA BAIDYANATH TEMPLE, TRIKUT PAHAR, TAPOVAN CAVES AND HILLS","RELIGIOUS SITE, ADVENTURE SPORT PLACE, CAVES AND HILLS","Winter, Winter/Spring, Summer/Autumn","

Darshan / Pooja / Abhishekam / Parikrama / Temple Tour / Spiritual Meditation / Aarti / Offer Prayers / Visit to Main Shrine / Visit to Jyotirlinga / Pilgrimage Tour / Prasad Collection / Attend Evening Aarti / Rituals and Ceremonies / Photography / Cultural Experience / Participate in Religious Discussions / Visit to Temple Complex, 

Trekking / Camping / Paragliding / Rock Climbing / Nature Walk / Photography / Spiritual Tour / Mountain Biking / River Rafting / Sightseeing / Adventure Sports / Jungle Safari / Picnic Spot / Meditation / Temple Visit, Trekking / Camping / Photography / Nature Walks / Caving / Bird Watching / River Rafting / Bonfire / Rock Climbing / Stargazing / Meditation / Fishing / Paragliding"
DHARAMSHALA,HIMACHAL PRADESH,"DALAI LAMA TEMPLE, BHAGSUNAG WATERFALL, TRIUND TREK, TSOMGO LAKE ","RELIGIOUS SITE, WATERFALL, TREK, LAKE","Spring/Autumn, Monsoon, Spring/Summer/Autumn, Spring/Winter","Meditation / Prayer / Yoga / Spiritual Retreat / Tibetan Buddhism Study / Nature Walk / Monastery Tour / Photography / Visit to Namgyal Monastery / Attend Buddhist Teachings / Buddhist Rituals / Chanting / Tibetan Cultural Experience, Trekking / Swimming / Picnic / Photography / Nature Walks / Exploring Local Cafes / Yoga / Waterfall Bathing / Adventure Sports / Rock Climbing / Camping / Spiritual Visits, Trekking / Camping / Bonfire / Nature Walks / Photography / Stargazing / Birdwatching / Mountain Climbing / Sunrise View / Sunset View / Picnic / Off-road Cycling / Paragliding / Wildlife Watching, boating / trekking / photography / sightseeing / nature walks / bird watching / yak ride / camping / fishing / picnicking / picnic spot / snow activities"
GANGTOK,SIKKIM,"RAMTEK MONASTERY, NATHULA PASS","MONASTERY, PASS","Winter, Summer/Autumn","trekking / sightseeing / meditation / photography / nature walk / historical exploration / spiritual retreat / camping / bird watching / local culture experience, 

Trekking / Scenic Views / Yak Ride / Snow Activities / Photography / Visit Tsomgo Lake / Visit Baba Harbhajan Singh Temple / Adventure Sports / Wildlife Watching / Cultural Exploration"
GOA,GOA,"CALANGUTE BEACH, BASILICA OF BOM JESUS, DUDHSAGAR FALL","BEACH, RELIGIOUS SITE, WATERFALL","Winter, Monsoon","Beach Volleyball / Parasailing / Jet Skiing / Windsurfing / Banana Boat Ride / Dolphin Watching / Sunbathing / Beachside Dining / Shopping at Beach Markets / Yoga by the Beach / Water Scooter Ride / Beach Photography / Kayaking / Cycling / Fishing / Surfing, 

Sightseeing / Historical Tour / Religious Visit / Photography / Cultural Experience / Heritage Walk / Spiritual Retreat / Guided Tour / Architecture Exploration / Art Viewing / Museum Visit / Prayer / Meditation / Attend Mass / Educational Visit, trekking / jeep safari / waterfall bathing / camping / bird watching / nature walks / photography / wildlife spotting / swimming / ziplining / scenic train ride / river crossing / picnic / fishing"
GULMARG,KASHMIR,"GULMARG BACKCOUNTRY, ALPATHER LAKE, APHARWAT PEAK, KAMAKHYA TEMPLE ","ADVENTURE SPORT PLACE, LAKE, PEAK, TEMPLE","Winter, Summer, Winter/Spring","Skiing / Snowboarding / Snowshoeing / Hiking / Sledding / Paragliding / Trekking / Mountaineering / Wildlife Photography / Gondola Ride / Ice Skating / Golfing / Camping / Nature Walks / Bird Watching, Boating / Trekking / Fishing / Photography / Nature Walks / Camping / Bird Watching / Picnicking / Cycling / Horse Riding / Stargazing / Zip Lining, Skiing / Snowboarding / Trekking / Snowshoeing / Paragliding / Mountaineering / Hiking / Cable Car Ride / Scenic Photography / Ice Climbing / Horse Riding / Nature Walks / Wildlife Photography / Camping / Fishing, Darshan / Visit to the Temple/ Participation in Religious Rituals / Photography / Architecture /  Prasad Collection /    Enjoying Scenic Views / Attend Cultural Performances / Shopping for Local Handicrafts / Explore the Ancient Caves"
GUWAHATI,ASSAM,"UMANANDA ISLANDS , POBITORA WILD LIFE CENTURY, ASSAM STATE MUSEUM, GWALIOR FORT ","RELIGIOUS SITE, WILDLIFE AREA, MUSUEM, FORT","Winter, Winter/Spring","boating / bird watching / trekking / photography / nature walk / fishing / picnic / exploring historical sites / visiting temples / swimming, 

Wildlife Safari / Bird Watching / Elephant Ride / Jeep Safari / Nature Walk / Camping / Photography / River Cruise / Cultural Tour / Village Visit, 

Exhibitions viewing / Cultural performances / Guided tours / Artifact exploration / Historical exhibitions / Art displays / Archaeological tours / Photography sessions / Educational workshops / Craft demonstrations / Traditional music sessions / Dance performances / Folk art exhibitions / Artifact conservation / Local history presentations, 

Sightseeing / Historical Tours / Photography / Hiking / Exploring Temples / Fort Exploration / Museum Visit / Cultural Tours / Light and Sound Show / Bird Watching / Shopping / Picnic / Heritage Walk / Sculpture Viewing"
GWALIOR,MADHYA PRADESH,"JAI VILAS PALACE, SAMADHI OF RANI LAKSHMI BAI, SUN TEMPLE, HAR KI PAURI ","PALACE, MEMORIAL, RELIGIOUS SITE, RIVER BANKS",Winter/Spring,"

Sightseeing / Historical Tours / Photography / Hiking / Exploring Temples / Fort Exploration / Museum Visit / Cultural Tours / Light and Sound Show / Bird Watching / Shopping / Picnic / Heritage Walk / Sculpture Viewing, 

Historical Tour / Guided Walk / Photography / Picnic / Heritage Exploration / Spiritual Experience / Educational Tour / Cultural Tour / Nature Walk / Yoga / Meditation / Archaeological Study, 
Sunset viewing / Photography / Temple exploration / Historical tour / Cultural experience / Spiritual walk / Archaeological site visit / Local crafts shopping / Meditation / Religious rituals participation / Guided tours / Sculptural observation / Light and sound show / Nature walk / Traditional dance performance, boating/river aarti/sunset viewing/temple visit/spiritual walks/photography/food tasting/yoga sessions/pilgrimage visits/trekking/bird watching/meditation"
HARIDWAR,UTTRAKHAND,"CHANDI DEVI TEMPLE, MANSA DEVI TEMPLE, VIRUPAKSHA TEMPLE",RELIGIOUS SITE,"Autumn/Winter/Spring, Autumn/Winter, Winter/Spring","

Darshan / Aarti / Cable Car Ride / Trekking / Photography / Praying / Scenic Viewpoint / Spiritual Retreat / Nature Walk / Picnic / Temple Exploration / Meditation / Souvenir Shopping, Cable Car Ride / Temple / Ropeway Ride / Trekking / Photography / Visit to i Museum / Evening Aarti / Shopping, 

Darshan / Temple Tour / Photography / Ritual Participation / Cultural Exploration / Spiritual Meditation / Attend Temple Festival / Visit Nearby Monuments / Local Shopping / Enjoy South Indian Cuisine"
HUMPY,KARNATAKA,"VITTALA TEMPLE, HUMPI BAZAAR, CHAR MINAR","RELIGIOUS SITE, MARKET AREA, MONUMENT","Winter/Spring, Winter","photography/architecture sightseeing/cultural exploration/heritage walk/spiritual meditation/sculpture appreciation/history learning/traditional art exploration/stone chariot viewing/pilgrimage, Shopping/Photography/Heritage Walk/Local Cuisine Tasting/Temple Visits/Cultural Tours/Craft Workshops/Street Art Exploration/Guided Tours/History Exploration, shopping/photography/historical sightseeing/cultural exploration/street food tasting/architectural tour/heritage walk/festival participation"
HYDERABAD,TELANGANA,"GOLCONDA FORT, CALVARY TEMPLE , RAMOJI FILM CITY, RAJWADA PALACE ","FORT, RELIGIOUS SITE, FILM CITY, PALACE","Winter, Winter/Spring","sightseeing/photography/historical tours/heritage walks/light and sound show/trekking/archaeological exploration/bird watching/family picnic, Prayer/Worship/Community Gathering/Sermons/Meditation/Bible Study/Charity Events/Fellowship/Faith Counseling/Religious Celebrations/Food Services/Volunteer Work/Spiritual Retreats/Choir Practice, Rides/Shows/Studio Tours/Adventure Activities/Theme Park Attractions/Cultural Performances/Shopping/Food Tours/Photography/Film Set Visits/Garden Walks/Live Entertainment, sightseeing/photography/cultural tours/shopping/history exploration/heritage walk/food tasting/architectural study/local handicraft exploration/traditional performances"
INDORE,MADHYA PRADESH,"RALAMANDAL WILDLIFE SANCTUARY, LALBAGH PALACE, SARAFA BAZAR","WILDLIFE AREA, PALACE, MARKET AREA","Autumn/Winter, Winter, Winter/Spring","Wildlife Safari/Trekking/Nature Walk/Bird Watching/Photography/Picnic/Adventure Activities, heritage tour/photography/cultural exploration/architectural study/guided tour/historical learning/garden walk/royal lifestyle experience, street food/shopping/photography/local culture exploration/jewelry buying/handicraft shopping/food tasting/night market stroll/local snacks"
JAIPUR,RAJASTHAN,"AMER FORT, ALBERT MUSEUM , HAWA MAHAL , JANTAR MANTAR, CITY PALACE","FORT, MUSEUM, MONUMENT, PALACE","Winter/Spring, Spring/Autumn/Winter, Winter","

Elephant Ride / Fort Tour / Light and Sound Show / Photography / Camel Ride / Traditional Dance Performance / Guided Tour / Adventure Activities / Boat Ride / Shopping for Souvenirs / Heritage Walk / Cultural Show / Visit to Sheesh Mahal / Local Cuisine / Zipline Adventure / Visit to Jaigarh Fort, 

Art exhibitions / Guided tours / Interactive displays / Historical artifacts / Temporary exhibitions / Educational workshops / Family-friendly activities / Audio tours / Sculpture gardens / Themed events / Cultural experiences / Special lectures / Museum cafes / Gift shop shopping / Photography sessions, 

Sightseeing / Photography / Cultural Tour / Historical Walk / Architecture Exploration / Heritage Tour / Local Shopping / Traditional Craft Viewing / Bird Watching / Sunset View / Exploring Markets / Scenic Views / Local Cuisine Tasting / Guided Tours / Royal History Exploration / Cultural Heritage Learning, 

Astronomical observations / Historical exploration / Architecture photography / Astronomy learning / Scientific demonstrations / Educational tours / Cultural heritage walk / Landmark visits / Stargazing / Timekeeping exploration / Architectural photography  / Visiting ancient observatories, 

Explore museums /  guided tour / Enjoy cultural performances / Attend royal events / Visit the Armoury Museum / Explore the royal kitchens / Photography / Shop for souvenirs / Enjoy Rajasthani cuisine / Sound and Light Show /  traditional dance performance"
JAISALMER,RAJASTHAN,"JAISALMER FORT, SAM SAND DUNES, LONGEWALA WAR MEMORIAL, PATWON KI HAVELI, DESERT NATIONAL PARK-SAFARI","FORT, DESERT AREA, MEMORIAL, MUSEUM, NATIONAL PARK",Winter,"Camel Safari / Fort Exploration / Sunset Viewpoint / Cultural Performance / Shopping / Heritage Walks / Desert Camping / Photography Tour / Local Cuisine Tasting / Museum Visits / Art Gallery Tour / Historical Site Visits / Jain Temples Visit / Traditional Rajasthani Dance Performance / Folk Music Performance, Camel Safari / Desert Camping / Dune Bashing / ATV Rides / Cultural Performances / Rajasthani Folk Music / Sandboarding / Jeep Safari / Quad Biking / Photography Tour / Sunset Viewpoint / Traditional Village Tour / Star Gazing / Henna Painting / Local Craft Shopping, 

Visit war memorial / Explore museum / Attend light and sound show / Photography / Guided tour / Historical walk / Experience desert safari / Visit bunkers / Visiting memorial site / Learning history, Sightseeing / Photography / Cultural exploration / Architecture tour / Heritage walk / Shopping for handicrafts / Historical learning / Local food tasting / Traditional dance performance / Exploring ancient artwork / Visiting nearby markets / Relaxing in courtyards, Camel Safari / Desert Camping / Wildlife Safari / Bird Watching / Jeep Safari / Star Gazing / Cultural Tours / Nature Walks / Photography Tour / Sand Dune Bashing / Local Village Visit / Eco-tourism Activities / Desert Trekking / Adventure Sports"
JODHPUR,RAJASTHAN,"MEHRANGARH FORT, UMAID BHAWAN FORT, GHANTA GHAR, JASWANT THADA","FORT, RELIGIOUS SITE, CLOCK TOWER, MONUMENT","Winter/Spring, Winter","

Sightseeing / Museum Tour / Fort Exploration / Photography / Cultural Experience / Guided Tours / Shopping / Rajasthani Cuisine Tasting / Traditional Craft Workshops / Sunset View / Paragliding / Audio Tour / Historical Walk / Ropeway Ride / Rajasthani Dance Performance, 

Sightseeing / Photography / Heritage Walks / History Exploration / Cultural Tours / Architecture Tour / Royal Palace Visit / Museum Tour / Royal Dining Experience / Wildlife Safari / Bird Watching / Handicraft Shopping / Traditional Folk Music / Camel Safari / Sunset Viewing / Yoga and Wellness / Camping / Adventure Sports / Guided Tours / Local Cuisine Tasting / Traditional Dance Performance, 

Shopping / Sightseeing / Photography / Street Food Tasting / Cultural Exploration / Historical Tours / Local Crafts / Architecture Admiration / Souvenir Hunting / Nightlife / Walking Tours / Market Exploration / Heritage Walks, Boating / Photography / Heritage Walk / Picnicking / Historical Exploration / Sunset Viewing / Local Craft Shopping / Cultural Immersion / Bird Watching / Stargazing"
KANCHIPURAM,TAMIL NADU,"KAILASHNATHAR TEMPLE, EKAMBARESWARAR TEMPLE, KANCHI KUDIL","RELIGIOUS SITE, KUDIL","Winter/Spring, Winter","

Sightseeing / Photography / Spiritual Meditation / Architecture Exploration / Cultural Tour / History Walk / Sculpture Viewing / Religious Ceremony Participation / Local Cuisine Tasting / Temple Rituals / Guided Tour / Hiking / Nature Walk, 

Temple tour / Photography / Religious rituals / Spiritual experience / Cultural exploration / Meditation / History exploration / Temple architecture study / Devotional experience / Local food tasting / Shopping for souvenirs / Attending temple festivals, 

Cultural tours / Heritage walks / Traditional cooking classes / Handicraft workshops / Folk dance performances / Temple visits / Local market exploration / Photography tours / Craftsmanship demonstrations / Village tours"
KANNUR,KERALA,"PAYYAMBALAM BEACH, ST. ANGELO FORT, MUZHAPPILANGAD DRIVE-IN BEACH","BEACH, RELIGIOUS SITE","Winter, Winter/Spring","

Beach volleyball / Sunset watching / Swimming / Beach photography / Sandcastle building / Paragliding / Kite surfing / Beach jogging / Surfing lessons / Relaxing on the shore / Boat rides / Fishing / Dolphin watching / Beach picnics / Local food tasting, 

Sightseeing / Photography / Historical Tour / Fort Exploration / Beach Visit / Bird Watching / Sunset View / Guided Tours / Archaeological Site Visit / Cultural Experience / Nature Walk / Fort Walls Walk / Local Cuisine Tasting / Heritage Walk / Adventure Sports, 

Beach drive / Swimming / Surfing / Paragliding / Beach volleyball / Camel ride / Sandcastle building / Beach picnic / Dolphin watching / Photography / Jet skiing / Sunset view / ATV ride / Fishing / Walking along the shore."
KANPUR,UTTAR PRADESH,"KANPUR MEMORIAL CHURCH, ALLEM FOREST ZOO, MOTI JHEEL","RELIGIOUS SITE, ZOO, LAKE","Winter, Spring/Autumn, Winter/Spring","

Sightseeing / Historical Exploration / Photography / Architecture Tour / Spiritual Reflection / Cultural Experience / Picnic / Educational Visit / Heritage Walk / Relaxation / Group Gathering / Nature Walk, Safari tour / Animal feeding / Bird watching / Nature trails / Photography / Picnic area / Guided tours / Wildlife conservation programs / Kids play area / Night safari / Educational workshops / Interactive exhibits / Zip-lining / Eco-tours / Horseback riding / Nature walks, Boating/Picnic/Jogging/Photography/Nature Walks/Relaxation/Local Food Tasting/Sightseeing/Family Outing"
